State,District,Market,Commodity,Min Price,Max Price,Modal Price
Gujarat,Amreli,Damnagar,Bhindi(Ladies Finger),4100,4500,4350
Gujarat,Amreli,Damnagar,Brinjal,2200,3000,2450
Gujarat,Amreli,Damnagar,Cabbage,2350,3000,2700
Gujarat,Amreli,Damnagar,Cauliflower,7000,7500,7250
Gujarat,Amreli,Damnagar,Coriander(Leaves),8400,9000,8850
Gujarat,Amreli,Damnagar,Ginger(Green),11000,14000,12500
Gujarat,Amreli,Damnagar,Green Chilli,7200,8000,7550
Gujarat,Amreli,Damnagar,Guar,6800,7500,7350
Gujarat,Amreli,Damnagar,Lemon,1850,2550,2200
Gujarat,Amreli,Damnagar,Tomato,9800,10000,9950
Haryana,Gurgaon,Gurgaon,Apple,10000,20000,15000
Himachal Pradesh,Kangra,Palampur,Apple,20000,21000,20500
Himachal Pradesh,Kangra,Palampur,Apple,8000,13000,10500
Himachal Pradesh,Kangra,Palampur,Banana,3500,4000,3750
Himachal Pradesh,Kangra,Palampur,Beetroot,3500,4000,3750
Himachal Pradesh,Kangra,Palampur,Bhindi(Ladies Finger),3800,4000,3900
Himachal Pradesh,Kangra,Palampur,Bitter gourd,3500,4000,3750
Himachal Pradesh,Kangra,Palampur,Bottle gourd,2800,3800,3300
Himachal Pradesh,Kangra,Palampur,Brinjal,5000,5200,5100
Himachal Pradesh,Kangra,Palampur,Cabbage,2200,2500,2350
Himachal Pradesh,Kangra,Palampur,Capsicum,11000,12000,11500
Himachal Pradesh,Kangra,Palampur,Carrot,3000,3500,3250
Himachal Pradesh,Kangra,Palampur,Cauliflower,4500,7000,4750
Himachal Pradesh,Kangra,Palampur,Colacasia,4000,4500,4250
Himachal Pradesh,Kangra,Palampur,Coriander(Leaves),14000,15000,14500
Himachal Pradesh,Kangra,Palampur,Cucumbar(Kheera),3000,4000,3500
Himachal Pradesh,Kangra,Palampur,French Beans (Frasbean),6000,7000,6500
Himachal Pradesh,Kangra,Palampur,Garlic,10000,13000,11500
Himachal Pradesh,Kangra,Palampur,Ginger(Green),19000,20000,19500
Himachal Pradesh,Kangra,Palampur,Green Chilli,5500,6000,5750
Himachal Pradesh,Kangra,Palampur,Guava,8000,11500,9750
Himachal Pradesh,Kangra,Palampur,Jack Fruit,3500,4000,3750
Himachal Pradesh,Kangra,Palampur,Lemon,4500,4800,4650
Himachal Pradesh,Kangra,Palampur,Mango,3000,4500,3750
Himachal Pradesh,Kangra,Palampur,Mango,5000,6000,5500
Himachal Pradesh,Kangra,Palampur,Mashrooms,3000,3500,3250
Himachal Pradesh,Kangra,Palampur,Mousambi(Sweet Lime),4500,5000,4750
Himachal Pradesh,Kangra,Palampur,Onion,2000,2200,2100
Himachal Pradesh,Kangra,Palampur,Papaya,4200,4500,4350
Himachal Pradesh,Kangra,Palampur,Pear(Marasebu),9000,10000,9500
Himachal Pradesh,Kangra,Palampur,Peas Wet,7000,8000,7500
Himachal Pradesh,Kangra,Palampur,Pineapple,4500,5000,4750
